date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-05-24 00:00:00+00:00,2026,5,24,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-24 00:00:00+00:00,2026,5,24,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-23 00:00:00+00:00,2026,5,23,port254,Colombo,Sri Lanka,LKA,12,1,0,0,0,13,13,72607,40341,0,0,0,112948,112948,9290,0,0,0,0,9290,9290
2026-05-23 00:00:00+00:00,2026,5,23,port678,Hambantota,Sri Lanka,LKA,1,1,0,1,0,3,3,0,61515,0,298,0,61813,61813,2685,0,0,580,0,3265,3265
2026-05-23 00:00:00+00:00,2026,5,23,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-23 00:00:00+00:00,2026,5,23,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22 00:00:00+00:00,2026,5,22,port254,Colombo,Sri Lanka,LKA,10,2,0,0,1,12,13,30187,22196,0,0,0,52384,52384,15173,1618,0,0,0,16792,16792
2026-05-22 00:00:00+00:00,2026,5,22,port678,Hambantota,Sri Lanka,LKA,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22 00:00:00+00:00,2026,5,22,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22 00:00:00+00:00,2026,5,22,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-21 00:00:00+00:00,2026,5,21,port254,Colombo,Sri Lanka,LKA,3,0,1,0,2,4,6,22745,0,0,0,0,22745,22745,30638,0,4467,0,0,35106,35106
2026-05-21 00:00:00+00:00,2026,5,21,port678,Hambantota,Sri Lanka,LKA,0,0,0,2,0,2,2,0,0,0,514,0,514,514,0,0,0,564,0,564,564
2026-05-21 00:00:00+00:00,2026,5,21,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,35221,0,0,0,35221,35221,0,1191,0,0,0,1191,1191
2026-05-21 00:00:00+00:00,2026,5,21,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20 00:00:00+00:00,2026,5,20,port254,Colombo,Sri Lanka,LKA,9,1,1,0,1,11,12,43851,0,1030,0,12324,44881,57206,39136,0,1787,0,0,40924,40924
2026-05-20 00:00:00+00:00,2026,5,20,port678,Hambantota,Sri Lanka,LKA,2,0,0,1,1,3,4,0,0,0,0,809,0,809,61932,0,0,0,0,61932,61932
2026-05-20 00:00:00+00:00,2026,5,20,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20 00:00:00+00:00,2026,5,20,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19 00:00:00+00:00,2026,5,19,port254,Colombo,Sri Lanka,LKA,10,0,2,0,1,12,13,58293,0,1030,0,6551,59324,65875,8500,0,1787,0,0,10287,10287
2026-05-19 00:00:00+00:00,2026,5,19,port678,Hambantota,Sri Lanka,LKA,1,0,1,0,0,2,2,0,0,0,0,0,0,0,24158,0,0,0,0,24158,24158
2026-05-19 00:00:00+00:00,2026,5,19,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19 00:00:00+00:00,2026,5,19,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-18 00:00:00+00:00,2026,5,18,port254,Colombo,Sri Lanka,LKA,7,2,0,0,1,9,10,14979,15145,0,0,0,30124,30124,14094,2162,0,0,0,16257,16257
2026-05-18 00:00:00+00:00,2026,5,18,port678,Hambantota,Sri Lanka,LKA,2,1,0,1,1,4,5,0,30342,0,6128,0,36470,36470,12711,5184,0,0,0,17896,17896
2026-05-18 00:00:00+00:00,2026,5,18,port1319,Trincomalee,Sri Lanka,LKA,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3499,0,0,3499,3499
2026-05-18 00:00:00+00:00,2026,5,18,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-17 00:00:00+00:00,2026,5,17,port254,Colombo,Sri Lanka,LKA,12,0,1,0,0,13,13,71701,0,1030,0,0,72732,72732,65839,0,1787,0,0,67626,67626
2026-05-17 00:00:00+00:00,2026,5,17,port678,Hambantota,Sri Lanka,LKA,2,0,0,1,0,3,3,0,0,0,0,0,0,0,4639,0,0,0,0,4639,4639
2026-05-17 00:00:00+00:00,2026,5,17,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,35221,0,0,0,35221,35221,0,1191,0,0,0,1191,1191
2026-05-17 00:00:00+00:00,2026,5,17,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
